epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.325,3.12737,6.10764,4.21508,0.00051,0.02462,0.00027,9.00E-05,2.66732,5.09947,4.23124,0.00330789,0.00330789,0.00330789
2,56.8456,3.14381,5.21211,4.20331,0,0,0,0,2.76188,5.0213,4.15643,0.00661931,0.00661931,0.00661931
3,83.6117,3.17313,2.17438,3.60165,0.19754,0.02462,0.02704,0.00324,3.24589,4.57637,3.98174,0.009868,0.009868,0.009868
4,111.183,1.59726,1.1982,2.33131,0.31634,0.31576,0.31762,0.23168,1.01632,0.83469,2.15741,0.009769,0.009769,0.009769
5,138.982,1.42525,0.98541,2.14509,0.32328,0.3167,0.31747,0.24301,nan,nan,nan,0.009736,0.009736,0.009736
6,166.867,1.12301,0.80645,1.88115,0.3272,0.33001,0.33148,0.25633,nan,nan,nan,0.009637,0.009637,0.009637
7,194.589,1.14338,0.90614,1.68241,0.74192,0.43937,0.49023,0.32867,1.01077,0.83703,1.68535,0.009538,0.009538,0.009538
8,222.481,1.07137,0.82076,1.5703,0.80288,0.63144,0.6829,0.44181,0.92474,0.68492,1.52911,0.009439,0.009439,0.009439
9,250.515,1.02782,0.75731,1.50651,0.85363,0.72638,0.76691,0.48368,0.90626,0.64237,1.44942,0.00934,0.00934,0.00934
10,278.4,0.99436,0.70689,1.46884,0.89794,0.72626,0.79955,0.50941,0.89878,0.58763,1.44119,0.009241,0.009241,0.009241
11,306.247,0.95496,0.66759,1.4232,0.89306,0.78695,0.84276,0.54541,0.89699,0.54504,1.49175,0.009142,0.009142,0.009142
12,334.26,0.94998,0.64679,1.41173,0.85295,0.75458,0.82493,0.54148,0.87383,0.54849,1.41565,0.009043,0.009043,0.009043
13,362.249,0.93966,0.63347,1.39596,0.92693,0.7882,0.86004,0.55985,0.8944,0.52517,1.42012,0.008944,0.008944,0.008944
14,389.847,0.90915,0.60096,1.37148,0.91649,0.81557,0.88072,0.586,0.8372,0.48716,1.3571,0.008845,0.008845,0.008845
15,417.806,0.91866,0.59304,1.3845,0.92896,0.80544,0.8903,0.58913,0.8377,0.49246,1.34487,0.008746,0.008746,0.008746
16,445.624,0.91485,0.59271,1.36713,0.91304,0.8499,0.90856,0.60148,0.82619,0.46462,1.3473,0.008647,0.008647,0.008647
17,473.544,0.8916,0.56358,1.34707,0.9174,0.83309,0.88797,0.59154,0.85007,0.49674,1.34096,0.008548,0.008548,0.008548
18,501.562,0.88782,0.55476,1.35275,0.90751,0.86112,0.90884,0.61636,0.82344,0.43817,1.34279,0.008449,0.008449,0.008449
19,529.432,0.86954,0.54259,1.32584,0.89776,0.8783,0.91535,0.62149,0.8183,0.43277,1.33339,0.00835,0.00835,0.00835
20,557.262,0.86903,0.53352,1.32771,0.9422,0.86524,0.9258,0.63181,0.80749,0.41975,1.33293,0.008251,0.008251,0.008251
21,585.268,0.87916,0.5366,1.33549,0.89357,0.88649,0.921,0.62358,0.82005,0.42098,1.3417,0.008152,0.008152,0.008152
22,613.333,0.86148,0.52717,1.31211,0.92801,0.87522,0.92165,0.63015,0.80852,0.41837,1.31028,0.008053,0.008053,0.008053
23,641.163,0.85614,0.51805,1.3136,0.92189,0.88748,0.93598,0.63857,0.81205,0.41031,1.31755,0.007954,0.007954,0.007954
24,669.08,0.86221,0.52412,1.31334,0.93195,0.89301,0.93251,0.63762,0.80376,0.3981,1.3105,0.007855,0.007855,0.007855
25,696.932,0.8422,0.51705,1.29709,0.9404,0.86593,0.92801,0.64384,0.81798,0.40993,1.31288,0.007756,0.007756,0.007756
26,724.677,0.83802,0.50712,1.28643,0.93502,0.89425,0.93468,0.64529,0.79258,0.39736,1.30522,0.007657,0.007657,0.007657
27,752.366,0.83661,0.50838,1.29002,0.93421,0.89881,0.93792,0.644,0.83284,0.40201,1.35641,0.007558,0.007558,0.007558
28,780.183,0.82777,0.49361,1.28034,0.94467,0.89295,0.94177,0.65136,0.81163,0.38968,1.30954,0.007459,0.007459,0.007459
29,808.129,0.83074,0.49769,1.29045,0.93603,0.90397,0.94229,0.65368,0.80186,0.38313,1.32772,0.00736,0.00736,0.00736
30,835.952,0.82828,0.4939,1.27904,0.93312,0.90786,0.94417,0.65632,0.79357,0.39326,1.27966,0.007261,0.007261,0.007261
31,863.86,0.8224,0.49145,1.27892,0.92858,0.91761,0.94303,0.66187,0.80484,0.37207,1.31403,0.007162,0.007162,0.007162
32,891.674,0.82214,0.49183,1.27773,0.93745,0.91522,0.94702,0.66302,0.78288,0.39033,1.26974,0.007063,0.007063,0.007063
33,919.357,0.82121,0.49363,1.2761,0.93336,0.91417,0.95097,0.66937,0.78447,0.37619,1.2896,0.006964,0.006964,0.006964
34,947.197,0.82306,0.4929,1.27582,0.91952,0.93103,0.94867,0.66453,0.78547,0.36495,1.29485,0.006865,0.006865,0.006865
35,974.995,0.81186,0.48078,1.26559,0.94152,0.91585,0.9473,0.6632,0.77782,0.36278,1.285,0.006766,0.006766,0.006766
36,1003.2,0.81785,0.48608,1.2676,0.9324,0.9172,0.95012,0.66244,0.77649,0.37283,1.26382,0.006667,0.006667,0.006667
37,1031.1,0.81053,0.48021,1.26938,0.93454,0.92533,0.95398,0.66676,0.77653,0.36872,1.2682,0.006568,0.006568,0.006568
38,1059.03,0.80603,0.47274,1.26163,0.94294,0.90994,0.95056,0.66846,0.77679,0.35343,1.28687,0.006469,0.006469,0.006469
39,1087.08,0.80384,0.46893,1.26195,0.93651,0.92976,0.95421,0.67076,0.77764,0.36752,1.27188,0.00637,0.00637,0.00637
40,1114.87,0.80762,0.47203,1.25672,0.93589,0.92934,0.95372,0.67268,0.77742,0.36063,1.27366,0.006271,0.006271,0.006271
41,1142.81,0.80142,0.46551,1.25185,0.94967,0.91501,0.95653,0.67483,0.77282,0.36119,1.27874,0.006172,0.006172,0.006172
42,1170.9,0.80481,0.46963,1.26198,0.93316,0.9242,0.95375,0.67703,0.76844,0.36046,1.26302,0.006073,0.006073,0.006073
43,1198.83,0.79748,0.46799,1.26145,0.93859,0.92641,0.95563,0.67985,0.76174,0.35722,1.25572,0.005974,0.005974,0.005974
44,1226.73,0.79802,0.4674,1.25103,0.94334,0.92147,0.9539,0.67703,0.76471,0.35748,1.25544,0.005875,0.005875,0.005875
45,1254.71,0.78881,0.45662,1.24074,0.93914,0.92738,0.95567,0.67821,0.76495,0.35345,1.25581,0.005776,0.005776,0.005776
46,1282.62,0.79686,0.45274,1.25554,0.93907,0.93047,0.95829,0.68104,0.76337,0.35202,1.27142,0.005578,0.005578,0.005578
47,1310.38,0.7925,0.45785,1.25047,0.93555,0.93194,0.95493,0.67778,0.75659,0.34983,1.25092,0.005479,0.005479,0.005479
